id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date
526,قهکمت,قندهکمتان‌,14398278072324784,300,IRO1GHEG0001,IRO1GHEG0003,قند و شكر,38 ,2023-08-31T05:41:53.588Z
530,ثنظام,س. ساختمانی نظام مهندسی ایران,45066064863062755,309,IRO7NZMP0001,IRO7NZMP0005,انبوه سازي، املاك و مستغلات,70 ,2023-08-31T05:41:53.828Z
532,کرمان,س. توسعه و عمران استان کرمان,50792786683910016,303,IRO3KRMZ0001,IRO3KRMZ0000,انبوه سازي، املاك و مستغلات,70 ,2023-08-31T05:41:53.950Z
540,نیرو,نیرو سرمایه,39481233087768672,309,IRO7NIRP0001,IRO7NIRP0001,ماشين آلات و دستگاه‌هاي برقي,31 ,2023-08-31T05:41:54.479Z
543,شکبیر,پتروشیمی امیرکبیر,56574323121551263,309,IRO7PKBP0001,IRO7PKBP0003,محصولات شيميايي,44 ,2023-08-31T05:41:54.684Z
545,پیزد,مجتمع صنایع لاستیک یزد,32784604551756178,303,IRO3YZTZ0001,IRO3YZTZ0007,لاستيك و پلاستيك,25 ,2023-08-31T05:41:54.825Z
547,کابگن,تولیدی و صنعتی آبگینه‌,10654052153538617,309,IRO7ABGP0001,IRO7ABGP0006,ساير محصولات كاني غيرفلزي,54 ,2023-08-31T05:41:54.940Z
549,فباهنر,مس‌ شهیدباهنر,66772024744156373,300,IRO1BAHN0001,IRO1BAHN0003,فلزات اساسي,27 ,2023-08-31T05:41:55.082Z
553,شپاکسا,پاکسان‌,11622051128546106,300,IRO1PAKS0001,IRO1PAKS0007,محصولات شيميايي,44 ,2023-08-31T05:41:55.315Z
557,فگستر,گسترش صنایع روی ایرانیان,8725363201030474,303,IRO3IZIZ0001,IRO3IZIZ0000,فلزات اساسي,27 ,2023-08-31T05:41:55.580Z
559,غشهداب,کشت و صنعت شهداب ناب خراسان,33611155027418901,303,IRO3SHHZ0001,IRO3SHHZ0001,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:41:55.722Z
561,غپآذر,شیر پگاه آذربایجان شرقی,45518744711972166,303,IRO3GHPZ0001,IRO3GHPZ0005,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:41:55.833Z
565,شبهرن,نفت‌ بهران‌,22667016906590506,300,IRO1NBEH0001,IRO1NBEH0009,فراورده هاي نفتي، كك و سوخت هسته اي,23 ,2023-08-31T05:41:56.131Z
575,تایرا,تراکتورسازیایران‌,19298748452450329,300,IRO1TRIR0001,IRO1TRIR0009,ماشين آلات و تجهيزات,29 ,2023-08-31T05:41:56.733Z
577,ثامان,سامان‌ گستراصفهان‌,66456062140680461,300,IRO1SGOS0001,IRO1SGOS0004,انبوه سازي، املاك و مستغلات,70 ,2023-08-31T05:41:56.871Z
579,حآفرین,ریل پرداز نو آفرین,21432551703060846,303,IRO3RPAZ0001,IRO3RPAZ0009,حمل ونقل، انبارداري و ارتباطات,60 ,2023-08-31T05:41:57.022Z
587,فرابورس,فرابورس ایران,58741071099161284,303,IRO3FRBZ0001,IRO3FRBZ0000,فعاليتهاي كمكي به نهادهاي مالي واسط,67 ,2023-08-31T05:41:57.607Z
591,تملت,تامین سرمایه بانک ملت,11129387075131725,300,IRO1TMLT0001,IRO1TMLT0007,فعاليتهاي كمكي به نهادهاي مالي واسط,67 ,2023-08-31T05:41:57.926Z
597,دعبید,لابراتوارداروسازی  دکترعبیدی,49054891736433700,300,IRO1ABDI0001,IRO1ABDI0004,مواد و محصولات دارويي,43 ,2023-08-31T05:41:58.356Z
599,دسبحان,سبحان دارو,5866848234665627,300,IRO1DSBH0001,IRO1DSBH0005,مواد و محصولات دارويي,43 ,2023-08-31T05:41:58.479Z
601,وبرق,س.کارکنان صنعت برق زنجان وقزوی,61298636307861167,309,IRO7SEIP0001,IRO7SEIP0001,سرمايه گذاريها,56 ,2023-08-31T05:41:58.604Z
607,سدشت,صنایع سیمان دشتستان,27000326841257664,300,IRO1SDST0001,IRO1SDST0002,سيمان، آهك و گچ,53 ,2023-08-31T05:41:59.066Z
613,قاسم,قاسم ایران,34540569618314880,303,IRO3GASZ0001,IRO3GASZ0009,خرده فروشي،باستثناي وسايل نقليه موتوري,47 ,2023-08-31T05:41:59.531Z
615,سیستم,همکاران سیستم,47749661205825616,300,IRO1SYSM0001,IRO1SYSM0004,رايانه و فعاليت‌هاي وابسته به آن,72 ,2023-08-31T05:41:59.656Z
617,کصدف,کاشی صدف سرام استقلال آباده,42696242981550091,309,IRO7KSDP0001,IRO7KSDP0008,كاشي و سراميك,49 ,2023-08-31T05:41:59.766Z
619,سخواف,سیمان مجد خواف,55959112038778737,309,IRO7SEKP0001,IRO7SEKP0007,سيمان، آهك و گچ,53 ,2023-08-31T05:41:59.927Z
621,کورز,ورزیران‌,42049553761321495,309,IRO7VARP0001,IRO7VARP0009,ساير محصولات كاني غيرفلزي,54 ,2023-08-31T05:42:00.070Z
623,خگستر,گسترش‌سرمایه‌گذاریایران‌خودرو,48990026850202503,300,IRO1GOST0001,IRO1GOST0003,خودرو و ساخت قطعات,34 ,2023-08-31T05:42:00.251Z
546,واتی,سرمایه‌ گذاری آتیه‌ دماوند,33541897671561960,300,IRO1ATDM0001,IRO1ATDM0008,سرمايه گذاريها,56 ,2023-08-31T05:41:54.883Z
552,همراه,شرکت ارتباطات سیار ایران,68635710163497089,300,IRO1HMRZ0001,IRO1HMRZ0007,مخابرات,64 ,2023-08-31T05:41:55.257Z
556,سبزوا,سیمان لار سبزوار,611986653700161,303,IRO3SBZZ0001,IRO3SBZZ0005,سيمان، آهك و گچ,53 ,2023-08-31T05:41:55.493Z
558,خبهمن2,گروه‌بهمن‌,23122854941568245,300,IRO1BHMN0002,IRO1BHMN0009,خودرو و ساخت قطعات,34 ,2023-08-31T05:41:55.639Z
564,ریشمک,تولید و صادرات ریشمک,6478064539164167,303,IRO3RPEZ0001,IRO3RPEZ0005,مواد و محصولات دارويي,43 ,2023-08-31T05:41:56.064Z
570,نمرینو,ایران‌ مرینوس‌,30231789123900526,300,IRO1MRIN0001,IRO1MRIN0000,منسوجات,17 ,2023-08-31T05:41:56.432Z
572,غدام,خوراک‌  دام‌ پارس‌,2254054929817435,300,IRO1KDPS0001,IRO1KDPS0004,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:41:56.564Z
582,بوعلی,پتروشیمی بوعلی سینا,50247622569476338,300,IRO1BONA0001,IRO1BONA0004,محصولات شيميايي,44 ,2023-08-31T05:41:57.244Z
584,نبروج,نساجی بروجرد,10843114830116591,309,IRO7BRTP0001,IRO7BRTP0002,منسوجات,17 ,2023-08-31T05:41:57.418Z
586,فسپا,گروه‌صنعتیسپاهان‌,8977441217024425,300,IRO1SEPA0001,IRO1SEPA0005,فلزات اساسي,27 ,2023-08-31T05:41:57.533Z
592,زنجان,صنایع کشاورزی وکود زنجان,12303918642491681,309,IRO7ZNJP0001,IRO7ZNJP0000,محصولات شيميايي,44 ,2023-08-31T05:41:57.983Z
596,وآفری,بیمه کارآفرین,589599697502308,300,IRO1KARP0001,IRO1KARP0008,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66 ,2023-08-31T05:41:58.296Z
598,شپارس,بین‌ المللی محصولات‌  پارس‌,61102694810476197,300,IRO1BMPS0001,IRO1BMPS0004,محصولات شيميايي,44 ,2023-08-31T05:41:58.416Z
602,ولشرق,لیزینگ ایران و شرق,31078457170311964,303,IRO3ISLZ0001,IRO3ISLZ0004,ساير واسطه گريهاي مالي,58 ,2023-08-31T05:41:58.667Z
604,تکنو,تکنوتار,3654864906585643,300,IRO1TKNO0001,IRO1TKNO0002,ماشين آلات و تجهيزات,29 ,2023-08-31T05:41:58.815Z
606,وسالت,بانک قرض الحسنه رسالت,23175320865252772,309,IRO7SALP0001,IRO7SALP0000,بانكها و موسسات اعتباري,57 ,2023-08-31T05:41:58.932Z
608,آپ,آسان پرداخت پرشین,55254206302462116,300,IRO1APPE0001,IRO1APPE0008,رايانه و فعاليت‌هاي وابسته به آن,72 ,2023-08-31T05:41:59.148Z
612,وخارزم2,سرمایه گذاری خوارزمی,60947086334338335,300,IRO1IKHR0002,IRO1IKHR0000,سرمايه گذاريها,56 ,2023-08-31T05:41:59.443Z
614,کشرق,صنعتی و معدنی شمال شرق شاهرود,42690477960659940,303,IRO3KSGZ0001,IRO3KSGZ0007,استخراج زغال سنگ,10 ,2023-08-31T05:41:59.588Z
620,وتوصا,گروه س توسعه صنعتی ایران,2944500421562364,300,IRO1TOSA0001,IRO1TOSA0009,سرمايه گذاريها,56 ,2023-08-31T05:42:00.017Z
624,شفن,پتروشیمی فناوران,65122215875355555,300,IRO1PFAN0001,IRO1PFAN0009,محصولات شيميايي,44 ,2023-08-31T05:42:00.310Z
628,فولاژ,فولاد آلیاژی ایران,40808043719554948,300,IRO1FAIR0001,IRO1FAIR0004,فلزات اساسي,27 ,2023-08-31T05:42:00.624Z
630,سمایه,بانک سرمایه,43913530989262989,309,IRO7IBKZ0001,IRO7IBKZ0000,بانكها و موسسات اعتباري,57 ,2023-08-31T05:42:00.762Z
627,میدکو,توسعه معادن وص.معدنی خاورمیانه,33441514568901717,300,IRO1MDKO0001,IRO1MDKO0001,فلزات اساسي,27 ,2023-08-31T05:42:00.555Z
629,دحاوی,الحاوی,43374709930371268,309,IRO7DHVP0001,IRO7DHVP0008,مواد و محصولات دارويي,43 ,2023-08-31T05:42:00.680Z
631,شتولی,تولیپرس‌,66210395067138534,309,IRO7TOPP0001,IRO7TOPP0009,محصولات شيميايي,44 ,2023-08-31T05:42:00.822Z
637,تاپکیش,تجارت الکترونیک پارسیان کیش,50002340308486819,303,IRO3KPEZ0001,IRO3KPEZ0002,رايانه و فعاليت‌هاي وابسته به آن,72 ,2023-08-31T05:42:01.214Z
641,زدشت,کشت و صنعت دشت خرم دره,25180702353416009,303,IRO3DKHZ0001,IRO3DKHZ0003,زراعت و خدمات وابسته,01 ,2023-08-31T05:42:01.544Z
645,سخوز,سیمان خوزستان,41974758296041288,300,IRO1KHOC0001,IRO1KHOC0009,سيمان، آهك و گچ,53 ,2023-08-31T05:42:01.789Z
649,زشگزا,شیر و گوشت زاگرس شهرکرد,26259366519412975,303,IRO3ZMMZ0001,IRO3ZMMZ0008,زراعت و خدمات وابسته,01 ,2023-08-31T05:42:02.062Z
651,فملی,ملی صنایع‌ مس‌ ایران‌,35425587644337450,300,IRO1MSMI0001,IRO1MSMI0000,فلزات اساسي,27 ,2023-08-31T05:42:02.185Z
653,وزمین,بانک ایران زمین,19954896371640204,309,IRO7ZMNP0001,IRO7ZMNP0005,بانكها و موسسات اعتباري,57 ,2023-08-31T05:42:02.323Z
655,وسرمد,بیمه  سرمد,43291783149314349,309,IRO7SRMP0001,IRO7SRMP0000,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66 ,2023-08-31T05:42:02.438Z
659,زگلدشت,کشت و دام گلدشت نمونه اصفهان,10024128313803797,303,IRO3GDSZ0001,IRO3GDSZ0006,زراعت و خدمات وابسته,01 ,2023-08-31T05:42:02.762Z
663,گلدیرا,صنایع گلدیران,54715710303837090,303,IRO3GOIZ0001,IRO3GOIZ0005,ماشين آلات و تجهيزات,29 ,2023-08-31T05:42:03.033Z
665,بوعلی2,پتروشیمی بوعلی سینا,24533545253247926,300,IRO1BONA0002,IRO1BONA0004,محصولات شيميايي,44 ,2023-08-31T05:42:03.159Z
667,دشیری,شیرین دارو,63084741752814852,309,IRO7DSHP0001,IRO7DSHP0003,مواد و محصولات دارويي,43 ,2023-08-31T05:42:03.287Z
679,خعمرا,توسعه و عمران شهرستان نائین,6433335428452486,309,IRO7TONP0001,IRO7TONP0001,خودرو و ساخت قطعات,34 ,2023-08-31T05:42:04.060Z
681,وثنو,سرمایه گذاری ساختمانی نوین,44986797317463049,309,IRO7SNOP0001,IRO7SNOP0002,سرمايه گذاريها,56 ,2023-08-31T05:42:04.188Z
683,مارون,پتروشیمی مارون,53449700212786324,303,IRO3PMRZ0001,IRO3PMRZ0005,محصولات شيميايي,44 ,2023-08-31T05:42:04.308Z
685,خپویش,سازه‌ پویش‌,4758266259250794,300,IRO1SZPO0001,IRO1SZPO0004,خودرو و ساخت قطعات,34 ,2023-08-31T05:42:04.431Z
687,غبهار,کشت وصنعت بهاران گلبهار خراسان,71666521540545716,309,IRO7GKHP0001,IRO7GKHP0008,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:42:04.547Z
689,ساربیل,سیمان آرتا اردبیل,34890845654517313,300,IRO1SADB0001,IRO1SADB0002,سيمان، آهك و گچ,53 ,2023-08-31T05:42:04.660Z
697,تکیمیا,تامین سرمایه کیمیا,66643284949247248,309,IRO7KYIZ0001,IRO7KYIZ0003,فعاليتهاي كمكي به نهادهاي مالي واسط,67 ,2023-08-31T05:42:05.137Z
699,بخاور,بیمه زندگی خاورمیانه,5599691633622269,303,IRO3MLIZ0001,IRO3MLIZ0000,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66 ,2023-08-31T05:42:05.291Z
705,نوری,پتروشیمی نوری,19040514831923530,300,IRO1NORI0001,IRO1NORI0008,محصولات شيميايي,44 ,2023-08-31T05:42:05.655Z
707,جم,پتروشیمی جم,32357363984168442,300,IRO1PJMZ0001,IRO1PJMZ0007,محصولات شيميايي,44 ,2023-08-31T05:42:05.772Z
709,پکرمان,گروه‌ صنعتی بارز,23214828924506640,300,IRO1BARZ0001,IRO1BARZ0007,لاستيك و پلاستيك,25 ,2023-08-31T05:42:05.921Z
711,سفاسی,شرکت فارسیت اهواز,34721884030854211,309,IRO7SFSP0001,IRO7SFSP0008,ساير محصولات كاني غيرفلزي,54 ,2023-08-31T05:42:06.050Z
634,وشهر,بانک شهر,41379697187196382,309,IRO7BSHP0001,IRO7BSHP0005,بانكها و موسسات اعتباري,57 ,2023-08-31T05:42:01.021Z
640,دسینا,داروسازی سینا,11432067920374603,300,IRO1DSIN0001,IRO1DSIN0000,مواد و محصولات دارويي,43 ,2023-08-31T05:42:01.457Z
642,پی پاد,پرداخت الکترونیک پاسارگاد,26316376625263940,300,IRO1PYPD0001,IRO1PYPD0001,رايانه و فعاليت‌هاي وابسته به آن,72 ,2023-08-31T05:42:01.604Z
644,فنرژی,گسترش صنایع انرژی آذرآب,63965059137798192,309,IRO7FNRP0001,IRO7FNRP0004,ساخت محصولات فلزي,28 ,2023-08-31T05:42:01.730Z
646,خساپا,سایپا,44891482026867833,300,IRO1SIPA0001,IRO1SIPA0001,خودرو و ساخت قطعات,34 ,2023-08-31T05:42:01.850Z
650,ونفت,سرمایه‌گذاری صنعت‌ نفت‌,33931218652865616,300,IRO1NAFT0001,IRO1NAFT0005,فراورده هاي نفتي، كك و سوخت هسته اي,23 ,2023-08-31T05:42:02.127Z
652,اتکای,بیمه اتکایی ایرانیان,39751275523025334,303,IRO3ETKZ0001,IRO3ETKZ0008,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,66 ,2023-08-31T05:42:02.240Z
656,تماوند,تامین سرمایه دماوند,60162288821230099,303,IRO3DIBZ0001,IRO3DIBZ0003,فعاليتهاي كمكي به نهادهاي مالي واسط,67 ,2023-08-31T05:42:02.506Z
658,وکار,بانک‌ کارآفرین‌,47996917271187218,300,IRO1KRAF0001,IRO1KRAF0000,بانكها و موسسات اعتباري,57 ,2023-08-31T05:42:02.705Z
664,زمگسا,کشاورزی ودامپروی مگسال‌,5054819322815158,300,IRO1MAGS0001,IRO1MAGS0006,زراعت و خدمات وابسته,01 ,2023-08-31T05:42:03.091Z
668,مبین,مبین انرژی خلیج فارس,27922860956133067,300,IRO1MOBN0001,IRO1MOBN0000,عرضه برق، گاز، بخاروآب گرم,40 ,2023-08-31T05:42:03.347Z
672,دیران,ایران‌دارو,69090868458637360,300,IRO1IRDR0001,IRO1IRDR0007,مواد و محصولات دارويي,43 ,2023-08-31T05:42:03.614Z
674,پلوله,گازلوله‌,29316948750916349,309,IRO7GAZP0001,IRO7GAZP0008,لاستيك و پلاستيك,25 ,2023-08-31T05:42:03.725Z
676,کاذر,فرآورده‌هاینسوزآذر,49353447565507376,300,IRO1NSAZ0001,IRO1NSAZ0002,ساير محصولات كاني غيرفلزي,54 ,2023-08-31T05:42:03.847Z
678,فخاس,فولاد خراسان,4733285133017464,300,IRO1FKAS0001,IRO1FKAS0009,فلزات اساسي,27 ,2023-08-31T05:42:03.990Z
682,حریل,ریل پردازسیر,5564768007356822,303,IRO3HRLZ0001,IRO3HRLZ0006,حمل ونقل، انبارداري و ارتباطات,60 ,2023-08-31T05:42:04.249Z
686,فسبزوار2,پارس فولاد سبزوار,20897521441507485,300,IRO1FSBZ0002,IRO1FSBZ0001,فلزات اساسي,27 ,2023-08-31T05:42:04.492Z
690,غناب,روغن‌ نباتی ناب,42470251469508137,309,IRO7RNAP0001,IRO7RNAP0009,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:42:04.715Z
692,شپنا2,پالایش نفت اصفهان,21976566779427945,300,IRO1PNES0002,IRO1PNES0000,فراورده هاي نفتي، كك و سوخت هسته اي,23 ,2023-08-31T05:42:04.831Z
696,حگهر,حمل و نقل گهرترابر سیرجان,47756003257788498,303,IRO3GTTZ0001,IRO3GTTZ0007,حمل ونقل، انبارداري و ارتباطات,60 ,2023-08-31T05:42:05.078Z
698,وتوکا,سرمایه‌گذاریتوکافولاد(هلدینگ,47232550823972469,300,IRO1TOKA0001,IRO1TOKA0007,فلزات اساسي,27 ,2023-08-31T05:42:05.200Z
700,ثبهساز,بهساز کاشانه تهران,14744445176220774,300,IRO1BEKA0001,IRO1BEKA0009,انبوه سازي، املاك و مستغلات,70 ,2023-08-31T05:42:05.348Z
704,کگاز,شیشه‌ و گاز,62346804681275278,300,IRO1SGAZ0001,IRO1SGAZ0001,ساير محصولات كاني غيرفلزي,54 ,2023-08-31T05:42:05.588Z
706,فغدیر,آهن و فولاد غدیر ایرانیان,28147934478934110,303,IRO3GIRZ0001,IRO3GIRZ0002,فلزات اساسي,27 ,2023-08-31T05:42:05.715Z
708,وتجارت,بانک تجارت,63917421733088077,300,IRO1BTEJ0001,IRO1BTEJ0001,بانكها و موسسات اعتباري,57 ,2023-08-31T05:42:05.857Z
714,زشریف,کشت وصنعت شریف آباد,26547785441834730,303,IRO3SAAZ0001,IRO3SAAZ0005,زراعت و خدمات وابسته,01 ,2023-08-31T05:42:06.252Z
715,خرینگ,رینگ‌سازیمشهد,45895339414786358,300,IRO1RINM0001,IRO1RINM0000,خودرو و ساخت قطعات,34 ,2023-08-31T05:42:06.341Z
717,غبهنوش,بهنوش‌ ایران‌,17059960254855208,300,IRO1BENN0001,IRO1BENN0001,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:42:06.454Z
723,حبندر,دریایی و کشتیرانی خط دریابندر,63704201144621295,309,IRO7BNDP0001,IRO7BNDP0004,حمل ونقل، انبارداري و ارتباطات,60 ,2023-08-31T05:42:06.910Z
733,بمولد,مولد نیروگاهی تجارت فارس,48261930411425125,303,IRO3FTJZ0001,IRO3FTJZ0000,عرضه برق، گاز، بخاروآب گرم,40 ,2023-08-31T05:42:07.666Z
739,غزر,صنعتی زر ماکارون,4369934250728330,300,IRO1ZARM0001,IRO1ZARM0004,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:42:08.075Z
747,ثنور,سرمایه گذاری کوه نور,63315013743060811,309,IRO7NORP0001,IRO7NORP0003,انبوه سازي، املاك و مستغلات,70 ,2023-08-31T05:42:08.628Z
1584,سیمرغ,سیمرغ,28450080638096732,300,IRO1SMRG0001,IRO1SMRG0007,زراعت و خدمات وابسته,01 ,2023-08-31T05:43:08.733Z
1588,حفاری,حفاری شمال,28809886765682162,300,IRO1HSHM0001,IRO1HSHM0008,استخراج نفت گاز و خدمات جنبي جز اكتشاف,11 ,2023-08-31T05:43:09.008Z
1592,چکاپا2,گروه صنایع کاغذ پارس,29816505887910059,300,IRO1KAPA0012,IRO1KAPA0015,محصولات كاغذي,21 ,2023-08-31T05:43:09.301Z
1596,لبوتان,گروه‌صنعتیبوتان‌,30650426998863332,300,IRO1BOTA0001,IRO1BOTA0008,ماشين آلات و تجهيزات,29 ,2023-08-31T05:43:09.582Z
1598,شسینا,صنایع‌شیمیاییسینا,30974710508383145,300,IRO1SHSI0001,IRO1SHSI0001,محصولات شيميايي,44 ,2023-08-31T05:43:09.709Z
1606,دشیمی,شیمی داروئی داروپخش‌,33603212156438463,300,IRO1DDPK0001,IRO1DDPK0001,مواد و محصولات دارويي,43 ,2023-08-31T05:43:10.296Z
1608,عالیس,بهار رز عالیس چناران,34213522001938649,303,IRO3ALSZ0001,IRO3ALSZ0002,محصولات غذايي و آشاميدني به جز قند و شكر,42 ,2023-08-31T05:43:10.419Z
1610,دتماد,تولیدمواداولیه‌داروپخش‌,34641719089573667,300,IRO1TMVD0001,IRO1TMVD0003,مواد و محصولات دارويي,43 ,2023-08-31T05:43:10.563Z
1618,وصندوق,سرمایه‌گذاریصندوق‌بازنشستگی,37204371816016200,300,IRO1SAND0001,IRO1SAND0008,شركتهاي چند رشته اي صنعتي,39 ,2023-08-31T05:43:11.074Z
1622,پاسا2,ایران‌یاساتایرورابر,38872670258755110,300,IRO1YASA0002,IRO1YASA0008,لاستيك و پلاستيك,25 ,2023-08-31T05:43:11.328Z
1624,قرن,پدیده شیمی قرن,39610074039667804,300,IRO1GARN0001,IRO1GARN0006,محصولات شيميايي,44 ,2023-08-31T05:43:11.471Z
1626,کیمیاتک,آریان کیمیا تک,39884565732277052,300,IRO1KTEK0001,IRO1KTEK0007,محصولات شيميايي,44 ,2023-08-31T05:43:11.644Z
1630,وکغدیر,بین المللی توسعه ص. معادن غدیر,40553302624764543,300,IRO1TMGD0001,IRO1TMGD0002,شركتهاي چند رشته اي صنعتي,39 ,2023-08-31T05:43:11.913Z
716,وامیر,گروه صنعتی و معدنی امیر,67213778593531096,309,IRO7AIMP0001,IRO7AIMP0001,استخراج كانه هاي فلزي,13 ,2023-08-31T05:42:06.396Z
720,رافزا,رایان هم افزا,68941822863885255,303,IRO3RYHZ0001,IRO3RYHZ0001,رايانه و فعاليت‌هاي وابسته به آن,72 ,2023-08-31T05:42:06.664Z
